temperature,city,pression,date
286.45,Paris,1027,2023-09-30 08:11
285.88,London,1026,2023-09-30 08:11
278.37,Washington,1015,2023-09-30 08:11
286.45,Paris,1027,2023-09-30 08:07
285.39,London,1026,2023-09-30 08:07
278.37,Washington,1015,2023-09-30 08:07
286.13,Paris,1027,2023-09-30 08:06
285.39,London,1026,2023-09-30 08:06
278.37,Washington,1015,2023-09-30 08:06
286.13,Paris,1027,2023-09-30 08:00
285.16,London,1026,2023-09-30 08:00
278.39,Washington,1015,2023-09-30 08:00
286.13,Paris,1027,2023-09-30 07:59
285.16,London,1026,2023-09-30 07:59
278.39,Washington,1015,2023-09-30 07:59
284.5,Paris,1026,2023-09-30 03:10
284.86,London,1026,2023-09-30 03:10
281.8,Washington,1013,2023-09-30 03:10
284.45,Paris,1026,2023-09-30 03:09
284.86,London,1026,2023-09-30 03:09
281.8,Washington,1013,2023-09-30 03:09
284.45,Paris,1026,2023-09-30 03:05
284.72,London,1025,2023-09-30 03:05
281.56,Washington,1013,2023-09-30 03:05
284.57,Paris,1026,2023-09-30 03:00
284.86,London,1026,2023-09-30 03:00
281.56,Washington,1013,2023-09-30 03:00
284.57,Paris,1026,2023-09-30 02:59
284.86,London,1026,2023-09-30 02:59
280.8,Washington,1013,2023-09-30 02:59
284.57,Paris,1026,2023-09-30 02:58
284.86,London,1026,2023-09-30 02:58
280.8,Washington,1013,2023-09-30 02:58
284.57,Paris,1026,2023-09-30 02:50
284.86,London,1026,2023-09-30 02:50
281.92,Washington,1013,2023-09-30 02:50
284.63,Paris,1026,2023-09-30 02:45
284.96,London,1026,2023-09-30 02:45
281.92,Washington,1013,2023-09-30 02:45
284.66,Paris,1026,2023-09-30 02:40
285.13,London,1024,2023-09-30 02:40
282.07,Washington,1013,2023-09-30 02:40
284.65,Paris,1026,2023-09-30 02:28
285.1,London,1021,2023-09-30 02:28
282.44,Washington,1012,2023-09-30 02:28
284.65,Paris,1026,2023-09-30 02:27
285.14,London,1022,2023-09-30 02:27
282.44,Washington,1012,2023-09-30 02:27
284.85,Paris,1026,2023-09-30 02:20
285.24,London,1024,2023-09-30 02:20
283.09,Washington,1012,2023-09-30 02:20
284.85,Paris,1026,2023-09-30 02:12
285.17,London,1022,2023-09-30 02:12
283.37,Washington,1012,2023-09-30 02:12
284.83,Paris,1026,2023-09-30 02:06
285.26,London,1024,2023-09-30 02:06
283.37,Washington,1012,2023-09-30 02:06
284.83,Paris,1026,2023-09-30 01:52
285.36,London,1024,2023-09-30 01:52
284.33,Washington,1012,2023-09-30 01:52
284.8,Paris,1026,2023-09-30 01:50
285.4,London,1024,2023-09-30 01:50
284.33,Washington,1012,2023-09-30 01:50
284.68,Paris,1026,2023-09-30 01:48
285.37,London,1024,2023-09-30 01:48
284.8,Washington,1012,2023-09-30 01:48
284.89,Paris,1026,2023-09-30 01:44
285.4,London,1024,2023-09-30 01:44
284.8,Washington,1012,2023-09-30 01:44
284.68,Paris,1026,2023-09-30 01:41
285.4,London,1024,2023-09-30 01:41
284.76,Washington,1012,2023-09-30 01:41
284.8,Paris,1026,2023-09-30 01:39
285.4,London,1024,2023-09-30 01:39
284.9,Washington,1012,2023-09-30 01:39
284.95,Paris,1026,2023-09-30 01:33
285.4,London,1024,2023-09-30 01:33
284.9,Washington,1012,2023-09-30 01:33
285.12,Paris,1026,2023-09-30 01:25
285.47,London,1024,2023-09-30 01:25
285.64,Washington,1012,2023-09-30 01:25
285.1,Paris,1026,2023-09-30 01:22
285.55,London,1024,2023-09-30 01:22
285.64,Washington,1012,2023-09-30 01:22
285.34,Paris,1026,2023-09-30 01:14
285.58,London,1024,2023-09-30 01:14
286.26,Washington,1012,2023-09-30 01:14
285.34,Paris,1026,2023-09-30 01:01
285.58,London,1024,2023-09-30 01:01
285.91,Washington,1012,2023-09-30 01:01
285.34,Paris,1026,2023-09-30 01:00
285.67,London,1024,2023-09-30 01:00
286.18,Washington,1012,2023-09-30 01:00
285.35,Paris,1027,2023-09-30 00:51
285.68,London,1024,2023-09-30 00:51
286.78,Washington,1012,2023-09-30 00:51
285.45,Paris,1026,2023-09-30 00:31
285.68,London,1023,2023-09-30 00:31
287.48,Washington,1012,2023-09-30 00:31
